bin_center,mean_confidence,mean_accuracy,sample_count
0.0333,0.0000,0.0000,0
0.1000,0.0000,0.0000,0
0.1667,0.0000,0.0000,0
0.2333,0.0000,0.0000,0
0.3000,0.3151,0.3333,3
0.3667,0.3737,0.5714,7
0.4333,0.4435,0.4138,29
0.5000,0.5107,0.4891,137
0.5667,0.5679,0.6100,300
0.6333,0.6335,0.7549,408
0.7000,0.7005,0.8255,510
0.7667,0.7678,0.9209,607
0.8333,0.8372,0.9592,1006
0.9000,0.9066,0.9917,2661
0.9667,0.9791,0.9975,16224
